File name,Numeber of lines
51565.txt, 455
51566.txt, 452
51570.txt, 1198
51571.txt, 938
51574.txt, 666
51576.txt, 1053
51578.txt, 672
51579.txt, 6389
51588.txt, 852
51589.txt, 741
51596.txt, 734
510.txt, 4284
511.txt, 4831
512.txt, 7733
513.txt, 3898
514.txt, 21022
515.txt, 6430
517.txt, 7341
518.txt, 5081
519.txt, 820
51600.txt, 6500
51603.txt, 947
51605.txt, 1050
51608.txt, 5593
51609.txt, 1132
51610.txt, 1202
51611.txt, 11777
51615.txt, 1012
51616.txt, 944
51622.txt, 767
51623.txt, 1063
51640.txt, 1261
51641.txt, 4031
51650.txt, 1410
51653.txt, 3575
51656.txt, 1114
51657.txt, 1567
5161.txt, 3368
5162.txt, 10217
5163.txt, 8402
5164.txt, 14262
5165.txt, 14715
5166.txt, 10054
5167.txt, 2841
5168.txt, 1217
5169.txt, 6373
51662.txt, 1039
51668.txt, 724
51681.txt, 1147
51682.txt, 901
51687.txt, 1230
51698.txt, 1177
51699.txt, 1210
51713.txt, 1047
51714.txt, 7877
51716.txt, 13438
51726.txt, 1462
51727.txt, 1515
51730.txt, 2895
51736.txt, 1318
51740.txt, 1706
51741.txt, 1376
51748.txt, 2296
51751.txt, 902
51752.txt, 1359
51755.txt, 5440
51758.txt, 1626
51759.txt, 1180
5171.txt, 4590
5172.txt, 6026
5173.txt, 10423
5174.txt, 12783
5175.txt, 14765
5176.txt, 7093
5177.txt, 6770
5179.txt, 18023
51762.txt, 4197
51767.txt, 1542
51768.txt, 1640
51773.txt, 1030
51774.txt, 1167
51781.txt, 1854
51801.txt, 1892
51803.txt, 2248
51804.txt, 4965
51805.txt, 1480
51809.txt, 1979
51810.txt, 1828
51830.txt, 5163
51832.txt, 1894
51833.txt, 2351
51842.txt, 2971
51844.txt, 3108
51848.txt, 7215
51849.txt, 2179
51852.txt, 2900
5180.txt, 6628
5181.txt, 1154
5182.txt, 6661
5183.txt, 3638
5184.txt, 13993
5185.txt, 11421
5186.txt, 24801
5187.txt, 4950
5188.txt, 407
5189.txt, 407
51866.txt, 8074
51868.txt, 2822
51909.txt, 7156
51910.txt, 5677
51911.txt, 7617
51912.txt, 10655
51913.txt, 8124
51914.txt, 6081
51915.txt, 9921
51916.txt, 9725
51917.txt, 6916
51918.txt, 10481
51919.txt, 8900
51920.txt, 3513
51921.txt, 5839
51923.txt, 5235
51925.txt, 8547
51932.txt, 13803
51942.txt, 1959
51950.txt, 18558
51958.txt, 3934
5190.txt, 407
5191.txt, 1542
5193.txt, 2639
5194.txt, 16914
5195.txt, 6612
5196.txt, 2609
5197.txt, 20028
5198.txt, 1104
5199.txt, 14234
51979.txt, 6378
51982.txt, 6048
51984.txt, 1645
51990.txt, 6024
52009.txt, 1766
52010.txt, 3607
52017.txt, 8987
52055.txt, 11185
5200.txt, 2364
5202.txt, 7547
5203.txt, 1491
5204.txt, 3969
5205.txt, 4124
5206.txt, 1394
5207.txt, 9970
5208.txt, 2880
5209.txt, 1883
52068.txt, 2009
52072.txt, 21800
52075.txt, 466
52101.txt, 8248
52107.txt, 4206
52110.txt, 9667
52113.txt, 7587
52125.txt, 3205
52126.txt, 5928
52130.txt, 4464
52143.txt, 4478
52146.txt, 2526
5210.txt, 9284
5211.txt, 1808
52113.txt, 7587
5212.txt, 476
5213.txt, 476
5214.txt, 476
5215.txt, 476
5216.txt, 476
5217.txt, 10645
5218.txt, 2053
5219.txt, 2316
52167.txt, 6228
52176.txt, 6748
52180.txt, 13328
52189.txt, 11779
52211.txt, 7922
52216.txt, 9609
52225.txt, 7558
52242.txt, 19353
52244.txt, 2125
52246.txt, 10550
52257.txt, 3266
5220.txt, 1307
5221.txt, 2091
5222.txt, 1485
5223.txt, 2499
5224.txt, 1547
5225.txt, 10689
5226.txt, 16278
5227.txt, 17583
5228.txt, 12480
5229.txt, 10536
52302.txt, 5088
52326.txt, 9482
52342.txt, 13200
52343.txt, 13263
52355.txt, 2548
5230.txt, 6354
5231.txt, 38188
5232.txt, 10974
5233.txt, 13073
5234.txt, 4845
5235.txt, 4255
5236.txt, 2394
5237.txt, 2696
5238.txt, 4130
5239.txt, 4459
52371.txt, 11643
52390.txt, 3675
52404.txt, 18930
52411.txt, 4503
52437.txt, 7904
52438.txt, 7260
52449.txt, 10564
52454.txt, 1708
52458.txt, 7321
5240.txt, 20596
5241.txt, 12161
5242.txt, 8377
5243.txt, 7980
5244.txt, 7041
5245.txt, 22672
5246.txt, 11374
5247.txt, 25390
5248.txt, 10747
52460.txt, 1424
52498.txt, 8104
52515.txt, 2712
52531.txt, 8322
52552.txt, 6641
52557.txt, 7885
52559.txt, 1875
5251.txt, 11622
5252.txt, 6317
5253.txt, 9114
5254.txt, 3765
5255.txt, 11128
5256.txt, 7806
5257.txt, 21005
5259.txt, 5470
52560.txt, 22868
52574.txt, 1553
52590.txt, 8824
520.txt, 3987
521.txt, 10294
522.txt, 3931
523.txt, 7863
524.txt, 12492
525.txt, 1606
526.txt, 3702
527.txt, 5704
528.txt, 7507
529.txt, 5450
52610.txt, 8483
52636.txt, 3237
52657.txt, 1191
5261.txt, 9193
5262.txt, 5378
5263.txt, 5891
5264.txt, 7879
5265.txt, 8977
5267.txt, 20440
5268.txt, 7364
5269.txt, 7629
52661.txt, 2234
52668.txt, 9155
52670.txt, 5772
52674.txt, 1876
52683.txt, 6830
52695.txt, 852
52696.txt, 6592
52739.txt, 7979
52755.txt, 7755
5270.txt, 9892
5271.txt, 6706
5272.txt, 747
5273.txt, 10633
5274.txt, 19375
5275.txt, 1141
5276.txt, 816
5277.txt, 1150
5278.txt, 936
5279.txt, 1270
52769.txt, 1197
52776.txt, 635
52784.txt, 737
52804.txt, 8374
52805.txt, 931
52819.txt, 17103
52840.txt, 1645
52842.txt, 9817
52844.txt, 2229
52845.txt, 1538
52854.txt, 1451
52855.txt, 2023
5280.txt, 907
5281.txt, 1312
5282.txt, 862
5283.txt, 862
5284.txt, 574
5285.txt, 942
5286.txt, 841
5287.txt, 783
5288.txt, 911
5289.txt, 1020
52868.txt, 10760
52903.txt, 7562
52920.txt, 14747
52945.txt, 6690
52946.txt, 5596
52949.txt, 9473
52951.txt, 1992
5290.txt, 1010
5291.txt, 885
5292.txt, 1016
5293.txt, 939
5294.txt, 841
5295.txt, 831
5296.txt, 944
5297.txt, 950
5298.txt, 900
5299.txt, 907
52978.txt, 8047
52979.txt, 11759
52995.txt, 1264
53005.txt, 5091
53006.txt, 15163
53015.txt, 1515
53016.txt, 928
53032.txt, 6303
53034.txt, 618
53035.txt, 893
53045.txt, 593
53048.txt, 1042
53049.txt, 9726
53059.txt, 2086
5300.txt, 14337
5301.txt, 10957
5302.txt, 1177
5303.txt, 1106
5304.txt, 888
5306.txt, 4262
5307.txt, 8844
5308.txt, 9139
5309.txt, 12709
53074.txt, 9803
53075.txt, 1352
53089.txt, 1072
53093.txt, 4829
53096.txt, 3962
53097.txt, 6303
53102.txt, 918
53123.txt, 1370
53126.txt, 3164
53132.txt, 2869
53133.txt, 8147
53134.txt, 9251
53155.txt, 4776
5310.txt, 3605
5311.txt, 4344
5312.txt, 6234
5313.txt, 5547
5315.txt, 8704
5317.txt, 4818
5319.txt, 2290
53175.txt, 12269
53187.txt, 2568
53193.txt, 2796
53200.txt, 5381
53214.txt, 8780
53249.txt, 11670
5320.txt, 12747
5321.txt, 3480
5322.txt, 1584
5324.txt, 6405
5327.txt, 3474
5328.txt, 19252
5329.txt, 1437
53270.txt, 3142
53289.txt, 15447
53306.txt, 3651
53312.txt, 6469
53348.txt, 4910
5330.txt, 1364
5331.txt, 708
5332.txt, 1122
5333.txt, 9386
5334.txt, 9330
5335.txt, 8839
5336.txt, 4441
5337.txt, 16428
53366.txt, 1323
53370.txt, 10909
53378.txt, 4303
53402.txt, 1669
53403.txt, 2675
53414.txt, 9286
53416.txt, 21755
53424.txt, 10448
53446.txt, 5841
5340.txt, 8685
5341.txt, 4698
5342.txt, 10402
5343.txt, 9240
5344.txt, 11857
5345.txt, 13416
5346.txt, 24644
5347.txt, 5292
5348.txt, 7387
5349.txt, 9663
53465.txt, 6875
53468.txt, 10066
53500.txt, 1646
53544.txt, 8311
53548.txt, 7198
53551.txt, 13750
5350.txt, 9800
5351.txt, 7245
5352.txt, 1316
5353.txt, 9945
5354.txt, 10415
5355.txt, 19424
5356.txt, 2571
5357.txt, 2522
5358.txt, 2957
5359.txt, 2913
53571.txt, 48979
53576.txt, 4957
53581.txt, 4803
530.txt, 8885
531.txt, 9467
532.txt, 6845
533.txt, 2880
535.txt, 3686
536.txt, 5811
537.txt, 8138
538.txt, 7726
53604.txt, 10634
53606.txt, 18588
53617.txt, 5240
53641.txt, 7578
53648.txt, 9616
5360.txt, 3038
5361.txt, 3120
5362.txt, 3104
5363.txt, 2205
5364.txt, 19744
5365.txt, 2946
5366.txt, 2538
5367.txt, 2276
5368.txt, 3048
5369.txt, 3512
53673.txt, 6264
53676.txt, 10453
53684.txt, 740
53700.txt, 5432
53711.txt, 3916
53716.txt, 11998
53717.txt, 13170
53726.txt, 10836
53754.txt, 11941
5370.txt, 2878
5371.txt, 2957
5372.txt, 3600
5373.txt, 20934
5374.txt, 3282
5375.txt, 3234
5376.txt, 2827
5377.txt, 3039
5378.txt, 2821
5379.txt, 2598
53765.txt, 6459
53771.txt, 3954
53775.txt, 12556
53784.txt, 7234
53802.txt, 9845
53804.txt, 9230
53810.txt, 3725
53811.txt, 8283
53843.txt, 3141
53846.txt, 502
53847.txt, 9268
53859.txt, 13767
5380.txt, 2577
5381.txt, 2119
5382.txt, 19864
5383.txt, 1587
5384.txt, 1888
5385.txt, 2142
5386.txt, 2517
5387.txt, 6992
5388.txt, 2963
5389.txt, 2460
53887.txt, 4498
53899.txt, 3704
53904.txt, 1146
53920.txt, 1634
5390.txt, 2720
5391.txt, 3323
5392.txt, 3549
5393.txt, 3178
5394.txt, 2524
5395.txt, 2347
5396.txt, 20415
5397.txt, 4504
5398.txt, 2431
5399.txt, 2025
5400.txt, 189686
5401.txt, 10204
5402.txt, 14849
5403.txt, 15160
5404.txt, 6244
5405.txt, 15402
5406.txt, 7757
5407.txt, 12894
5408.txt, 1856
5409.txt, 1597
5410.txt, 1952
5411.txt, 2320
5412.txt, 1490
5413.txt, 1874
5414.txt, 2062
5415.txt, 1692
5416.txt, 10592
5417.txt, 8489
5418.txt, 5555
5419.txt, 6888
5420.txt, 1045
5421.txt, 10574
5422.txt, 10581
5425.txt, 2815
5426.txt, 4820
5427.txt, 23874
5428.txt, 3298
5429.txt, 2855
5430.txt, 1396
5431.txt, 5852
5432.txt, 5488
5433.txt, 19195
5434.txt, 10162
5435.txt, 8453
5437.txt, 19019
5438.txt, 7781
5439.txt, 2392
5440.txt, 2964
5441.txt, 2775
5442.txt, 2350
5443.txt, 2168
5444.txt, 2733
5445.txt, 2246
5446.txt, 2294
5447.txt, 2298
5448.txt, 2186
5449.txt, 21047
5450.txt, 2375
5451.txt, 2033
5452.txt, 2356
5453.txt, 2538
5454.txt, 2185
5455.txt, 2593
5456.txt, 2324
5457.txt, 2565
5458.txt, 2064
5459.txt, 2685
540.txt, 14657
541.txt, 11961
542.txt, 10661
543.txt, 20024
544.txt, 9288
545.txt, 5548
546.txt, 11781
547.txt, 12852
548.txt, 1868
549.txt, 5458
5460.txt, 20354
5461.txt, 2517
5462.txt, 2251
5463.txt, 2577
5464.txt, 2644
5465.txt, 2277
5466.txt, 10790
5467.txt, 2583
5468.txt, 2466
5469.txt, 2415
5470.txt, 2539
5471.txt, 3064
5472.txt, 11615
5473.txt, 2186
5474.txt, 1664
5475.txt, 1862
5476.txt, 2151
5477.txt, 1393
5478.txt, 1834
5479.txt, 2483
5480.txt, 2215
5481.txt, 2043
5482.txt, 14819
5483.txt, 2390
5484.txt, 2689
5485.txt, 2421
5486.txt, 2124
5487.txt, 2739
5488.txt, 2057
5489.txt, 2318
5490.txt, 2359
5491.txt, 2296
5492.txt, 2889
5493.txt, 20921
5494.txt, 2229
5495.txt, 2340
5496.txt, 1838
5497.txt, 2047
5498.txt, 2258
5499.txt, 9219
5501.txt, 1965
5502.txt, 2481
5503.txt, 2447
5504.txt, 2051
5505.txt, 2214
5506.txt, 2220
5507.txt, 11547
5508.txt, 1775
5509.txt, 2123
5510.txt, 1915
5511.txt, 2174
5512.txt, 2208
5513.txt, 1711
5514.txt, 1995
5515.txt, 2418
5516.txt, 13708
5517.txt, 2109
5518.txt, 2419
5519.txt, 2562
5520.txt, 2088
5521.txt, 2155
5522.txt, 2185
5523.txt, 1988
5524.txt, 2591
5525.txt, 1980
5526.txt, 2064
5527.txt, 2129
5528.txt, 2571
5529.txt, 22723
5530.txt, 1968
5531.txt, 2142
